name,address,delivery,number,category,choice
BBQ,https://store.naver.com/restaurants/detail?id=11799792,O,0504-3142-1432,패스트푸드,X
피자나라치킨공주,https://store.naver.com/restaurants/detail?id=21025514,O,02-2299-6755,패스트푸드,X
교촌치킨,https://store.naver.com/restaurants/detail?id=35413450,O,02-2292-1991,패스트푸드,X
네네치킨,https://store.naver.com/restaurants/detail?id=38723993,O,050-4109-9255,패스트푸드,X
노랑통닭,https://store.naver.com/restaurants/detail?id=35841516,O,02-2291-0800,패스트푸드,X
도담치킨,https://store.naver.com/restaurants/detail?id=37883042,O,02-2295-9253,패스트푸드,X
도스마스,https://store.naver.com/restaurants/detail?id=34500898,O,02-2294-1818,패스트푸드,X
빈스피자팩토리,NULL,X,NULL,패스트푸드,X
만리향 양꼬치,https://store.naver.com/restaurants/detail?id=36446631,X,02-2299-0449,중식,X
금룡,https://store.naver.com/restaurants/detail?id=17899439,O,02-2293-7373,중식,X
길이식당,https://store.naver.com/restaurants/detail?id=1480029997,X,02-2281-8822,중식,X
라화쿵부,https://store.naver.com/restaurants/detail?id=1501155067,X,02-2281-3803,중식,X
홍콩반점,https://store.naver.com/restaurants/detail?id=33167058,X,02-2293-0410,중식,X
성화원,https://store.naver.com/restaurants/detail?id=35279525,O,02-2291-8899,중식,X
대연각,https://store.naver.com/restaurants/detail?id=17897473,O,02-2281-8555,중식,X
양국복 마라탕,https://store.naver.com/restaurants/detail?id=170899606,X,02-2295-4567,중식,X
램플러스,https://store.naver.com/restaurants/detail?id=582679648,X,02-2281-0405,중식,X
복천루,https://store.naver.com/restaurants/detail?id=17894766,O,02-2293-7056,중식,X
한플 마라탕,NULL,X,NULL,중식,X
카모메 ,https://store.naver.com/restaurants/detail?id=13496755,O,02-6397-3454,일식,X
일락,https://store.naver.com/restaurants/detail?id=31243157,X,070-7584-6227,일식,X
히게선생,https://store.naver.com/restaurants/detail?id=315414860,X,02-2200-1419,일식,X
청춘초밥,https://store.naver.com/restaurants/detail?id=31269632,X,02-2291-2722,일식,X
하쿠나마타타,https://store.naver.com/restaurants/detail?id=573334922,X,02-2295-8339,일식,X
이자와,https://store.naver.com/restaurants/detail?id=38628048,X,02-2200-1620,일식,X
아리가또맘마,https://store.naver.com/restaurants/detail?id=1454298230,X,02-2281-2364,일식,X
가츠몽,https://store.naver.com/restaurants/detail?id=396853646,X,02-2296-5353,일식,X
스시도쿠,https://store.naver.com/restaurants/detail?id=36466212,O,02-2281-3255,일식,X
행운돈까스,https://store.naver.com/restaurants/detail?id=19872984,X,02-2296-3406,일식,X
히토리우동,https://store.naver.com/restaurants/detail?id=1246543970,X,02-2291-3172,일식,X
우동가조쿠,https://store.naver.com/restaurants/detail?id=32417257,X,02-762-2177,일식,X
산쪼메,https://store.naver.com/restaurants/detail?id=490043780,X,070-8964-0820,일식,X
악어떡볶이,https://store.naver.com/restaurants/detail?id=36210603,X,02-2281-9988,일식,X
찡떡,https://store.naver.com/restaurants/detail?id=37362154,O,02-2281-9732,일식,X
동대문엽기떡볶이,https://store.naver.com/restaurants/detail?id=37452273,O,02-6053-8592,일식,X
바르다 김선생,https://store.naver.com/restaurants/detail?id=37555567,O,02-2296-0900,일식,X
죠스떡볶이,https://store.naver.com/restaurants/detail?id=13457772,O,02-2291-1535,일식,X
신불떡볶이,https://store.naver.com/restaurants/detail?id=217498965,X,02-6369-1577,일식,X
응급실국물떡볶이,https://store.naver.com/restaurants/detail?id=950263124,O,02-2298-1119,일식,X
스마일즉석떡볶이,https://store.naver.com/restaurants/detail?id=17899114,X,02-2291-3279,일식,X
두끼,https://store.naver.com/restaurants/detail?id=37009004,X,02-2291-2771,일식,X
레드컵스,https://store.naver.com/restaurants/detail?id=20934009,X,NULL,일식,X
푸른햇살49,https://store.naver.com/restaurants/detail?id=1955643797,X,02-2298-3394,일식,X
신전떡볶이,https://store.naver.com/restaurants/detail?id=35418256,X,02-2281-1178,일식,X
한플 김밥나라,NULL,X,NULL,일식,X
한플 떡볶이집,NULL,X,NULL,일식,X
싸움의 고수,https://store.naver.com/restaurants/detail?id=37921716,O,02-2296-1241,한식,X
깡스,NULL,X,070-7793-6410,한식,X
김부삼,NULL,X,02-2281-9992,한식,X
꼬꼬아찌,https://store.naver.com/restaurants/detail?id=1155763367,X,02-2293-8567,한식,X
다시 올 치킨,https://store.naver.com/restaurants/detail?id=18775023,X,02-2293-8979,한식,X
한양촌,https://store.naver.com/restaurants/detail?id=17943873,O,02-2293-5238,한식,X
비야,https://store.naver.com/restaurants/detail?id=37770187,X,NULL,한식,X
이돈집,NULL,X,NULL,한식,X
알촌,https://store.naver.com/restaurants/detail?id=13570606,X,1661-1907,한식,X
그때그집,NULL,O,02-2294-4204,한식,X
병천순대국,https://store.naver.com/restaurants/detail?id=36666598,O,02-2297-0122,한식,X
황소곱창,https://store.naver.com/restaurants/detail?id=12054254,X,02-2294-2066,한식,X
니캉내캉,https://store.naver.com/restaurants/detail?id=17899991,X,02-2281-0617,한식,X
곱돌이네,https://store.naver.com/restaurants/detail?id=20937647,X,NULL,한식,X
진국,https://store.naver.com/restaurants/detail?id=35485893,X,02-2299-9882,한식,X
조씨네 고기국수,https://store.naver.com/restaurants/detail?id=280677588,X,02-2299-0423,한식,X
일미리 금계찜닭,https://store.naver.com/restaurants/detail?id=37817876,O,02-2281-3166,한식,X
백종원씨 돌배기집,https://store.naver.com/restaurants/detail?id=1179220390,X,NULL,한식,X
새마을식당,https://store.naver.com/restaurants/detail?id=31076851,X,02-2281-2122,한식,X
자연별곡,https://store.naver.com/restaurants/detail?id=36220216,X,02-6454-6054,한식,X
내가찜한닭,https://store.naver.com/restaurants/detail?id=36958604,O,02-2297-0101,한식,X
배달돼지,https://store.naver.com/restaurants/detail?id=502014788,O,02-2295-8592,한식,X
공씨네주먹밥,NULL,X,NULL,한식,X
한플 순대국밥,NULL,X,NULL,한식,X
육앤샤,https://store.naver.com/restaurants/detail?id=36912838,X,02-2294-2020,한식,X
아비꼬,https://store.naver.com/restaurants/detail?id=38230199,X,02-6454-6214,기타,X
커리야,https://store.naver.com/restaurants/detail?id=38591667,X,02-2293-9990,기타,X
타이 인 플레이트,https://store.naver.com/restaurants/detail?id=66929503,X,02-2298-0984,기타,X
레드올리브,https://store.naver.com/restaurants/detail?id=37398046,X,02-6454-6218,기타,X
그릴타이,https://store.naver.com/restaurants/detail?id=33474097,X,02-2200-1488,기타,X
한플 누들박스,https://store.naver.com/restaurants/detail?id=36193136,X,02-6454-6208,기타,X
가까운 편의점,NULL,X,NULL,기타,X
